week_start,week_end,licensed_seats,active_seats,seat_util_pct,total_sessions,avg_session_min,cohort_module_sessions,reporting_module_sessions,integration_api_calls,support_tickets_opened,support_tickets_resolved
2025-08-04,2025-08-10,38,34,89.5,312,18.4,44,88,1240,0,0
2025-08-11,2025-08-17,38,33,86.8,298,17.9,41,82,1190,1,1
2025-08-18,2025-08-24,38,34,89.5,304,18.1,39,86,1210,0,0
2025-08-25,2025-08-31,38,32,84.2,287,17.6,38,79,1140,0,0
2025-09-01,2025-09-07,38,33,86.8,291,17.2,36,81,1100,2,2
2025-09-08,2025-09-14,38,30,78.9,264,16.8,31,74,1020,0,0
2025-09-15,2025-09-21,38,28,73.7,241,16.1,27,68,940,0,0
2025-09-22,2025-09-28,38,26,68.4,218,15.4,24,61,880,1,1
2025-10-06,2025-10-12,38,24,63.2,196,14.9,20,54,790,0,0
2025-10-13,2025-10-19,38,22,57.9,174,14.1,17,48,690,0,0
2025-10-20,2025-10-26,38,21,55.3,162,13.8,14,44,620,0,0
2025-10-27,2025-11-02,38,20,52.6,148,13.2,11,39,540,0,0
2025-11-03,2025-11-09,38,18,47.4,132,12.7,9,34,470,0,0
2025-11-10,2025-11-16,38,17,44.7,119,12.1,7,30,390,0,0
2025-11-17,2025-11-23,38,17,44.7,114,11.8,6,28,340,0,0
2025-11-24,2025-11-30,38,16,42.1,108,11.4,5,26,300,0,0
2025-12-01,2025-12-07,38,16,42.1,104,11.1,4,24,280,0,0
2025-12-08,2025-12-14,38,15,39.5,98,10.8,4,22,250,0,0
2025-12-15,2025-12-21,38,15,39.5,94,10.6,3,20,230,0,0
2025-12-22,2025-12-28,38,14,36.8,88,10.2,3,18,200,0,0
2026-01-05,2026-01-11,38,15,39.5,91,10.4,3,20,210,0,0
2026-01-12,2026-01-18,38,14,36.8,87,10.1,2,18,190,0,0
2026-01-19,2026-01-25,38,14,36.8,84,9.9,2,17,180,0,0
2026-01-26,2026-02-01,38,15,39.5,90,10.3,2,19,200,0,0
